#At time x allocated y bytes for process z from i to j
At time 1 allocated 64 bytes for process 1 from 0 to 63
At time 3 allocated 128 bytes for process 2 from 128 to 255
At time 5 allocated 512 bytes for process 3 from 512 to 1023
At time 7 freed 64 bytes from process 1 from 0 to 63
At time 10 freed 128 bytes from process 2 from 128 to 255
At time 13 allocated 512 bytes for process 4 from 0 to 511
At time 16 freed 512 bytes from process 3 from 512 to 1023
At time 18 freed 512 bytes from process 4 from 0 to 511
At time 20 allocated 1024 bytes for process 5 from 0 to 1023
At time 25 freed 1024 bytes from process 5 from 0 to 1023
